sample_name	Class
DATA.687983	0
DATA.906830	0
DATA.909750	0
DATA.925338	0
DATA.1240134	0
DATA.1298134	0
DATA.907173	0
DATA.905936	0
DATA.905974	0
DATA.724855	0
DATA.724831	0
DATA.909707	0
DATA.907794	0
DATA.909698	0
DATA.910903	0
DATA.909784	0
DATA.906834	0
DATA.905976	0
DATA.906844	0
DATA.1240212	0
DATA.1503367	0
DATA.753618	0
DATA.687829	0
DATA.1240132	0
DATA.907169	0
DATA.909723	0
DATA.905961	0
DATA.910926	0
DATA.909696	0
DATA.1240210	0
DATA.910544	0
DATA.687995	0
DATA.910401	0
DATA.910947	0
DATA.1330995	0
DATA.910861	0
DATA.1240201	0
DATA.909260	0
DATA.908471	0
DATA.688010	0
DATA.909249	0
DATA.1298539	0
DATA.910546	0
DATA.909697	0
DATA.909251	0
DATA.1330987	0
DATA.909256	0
DATA.909264	0
DATA.971773	0
DATA.905964	0
DATA.909257	0
DATA.946361	0
DATA.753588	0
DATA.906868	0
DATA.907300	0
DATA.753586	0
DATA.1330935	0
DATA.910694	0
DATA.907323	0
DATA.910932	0
DATA.924239	0
DATA.906871	0
DATA.907321	0
DATA.1290806	0
DATA.906999	0
DATA.908129	0
DATA.1298168	0
DATA.713899	0
DATA.908128	0
DATA.1290807	0
DATA.908146	0
DATA.906875	0
DATA.907298	0
DATA.1327775	0
DATA.753589	0
DATA.917486	0
DATA.908149	0
DATA.1240179	0
DATA.1240173	0
DATA.1299078	0
DATA.930297	0
DATA.717431	0
DATA.1331032	0
DATA.687457	0
DATA.688087	0
DATA.905958	0
DATA.909907	0
DATA.908131	0
DATA.1299075	0
DATA.909785	0
DATA.909771	0
DATA.1247871	0
DATA.910906	0
DATA.908141	0
DATA.908136	0
DATA.753615	0
DATA.909725	0
DATA.908151	0
DATA.905946	0
DATA.724838	0
DATA.713885	0
DATA.905956	0
DATA.1331050	0
DATA.909773	0
DATA.909756	0
DATA.909736	0
DATA.687586	0
DATA.1331033	0
DATA.909742	0
DATA.906801	0
DATA.910852	0
DATA.906818	0
DATA.1290765	0
DATA.910692	0
DATA.687561	0
DATA.910933	0
DATA.905951	0
DATA.906808	0
DATA.910781	0
DATA.946382	0
DATA.910569	0
DATA.905935	0
DATA.1240127	0
DATA.910934	0
DATA.906765	0
DATA.906814	0
DATA.910687	0
